,name,gender,origin,meaning
TEDDY,TEDDY,['m'],['English'],Diminutive of EDWARD or THEODORE.
TEDORE,TEDORE,['m'],['Georgian'],Georgian form of THEODORE.
TEEMU,TEEMU,['m'],['Finnish'],Finnish form of NICODEMUS.
TEGAN,TEGAN,['f'],['Welsh'],"Derived from Welsh teg ""fair""."
TEGID,TEGID,['m'],['Welsh'],"Possibly derived from Welsh teg ""fair"", or possibly from the Roman name TACITUS. This is the Welsh name of a lake in Wales, called Bala Lake in English. It also occurs in medieval Welsh legends as the husband of Ceridwen."
TEGWEN,TEGWEN,['f'],['Welsh'],"Derived from the Welsh elements teg ""fair"" and gwen ""blessed""."
TEHILA,TEHILA,['f'],['Hebrew'],"Means ""praise"" in Hebrew."
TEIGE,TEIGE,['m'],['Irish'],Anglicized form of TADHG.
TEIGUE,TEIGUE,['m'],['Irish'],Anglicized form of TADHG.
TEIJA,TEIJA,['f'],['Finnish'],Finnish short form of DOROTHEA.
TEIMURAZ,TEIMURAZ,['m'],['Georgian'],Georgian form of TAHMURAS. This was the name of several kings who ruled over kingdoms located in what is now modern Georgia.
TEIMURAZI,TEIMURAZI,['m'],['Georgian'],Variant of TEIMURAZ.
TEJA,TEJA,['f'],['Slovene'],Short form of DOROTEJA.
TEJAL,TEJAL,['f'],"['Indian', 'Marathi', 'Gujarati']","From Sanskrit तेजस्(tejas) meaning ""brilliance, splendour""."
TEKAKWITHA,TEKAKWITHA,['f'],"['Native American', 'Mohawk']","Means ""she who bumps into things"" or ""she who puts things in place"" in Mohawk. Tekakwitha, also named Kateri, was the first Native American Catholic saint."
TEKLA,TEKLA,['f'],"['Georgian', 'Hungarian']",Georgian and Hungarian form of THEKLA.
TEKOA,TEKOA,['m'],['Biblical'],"Possibly means either ""stockade"" or ""horn, trumpet"" in Hebrew. In the Old Testament this is the name of a both a city and a son of Ashhur."
TEL,TEL,['m'],['English (British)'],Short form of TERENCE or TERRY(1).
TELESPHOROS,TELESPHOROS,['m'],['Ancient Greek'],Greek form of TÉLESPHORE.
TELESPHORUS,TELESPHORUS,['m'],['Ancient Greek (Latinized)'],Latinized form of the Greek name Telesphoros (see TÉLESPHORE).
TELLERVO,TELLERVO,['f'],['Finnish Mythology'],Meaning unknown. Tellervo was a Finnish forest goddess. She is variously described as either the wife or daughter of Tapio.
TELMA,TELMA,['f'],['Portuguese'],Either a Portuguese form of THELMA or a feminine form of TELMO.
TELMO,TELMO,['m'],"['Portuguese', 'Spanish']","Derived from a misdivision of Spanish Santelmo meaning ""saint ELMO"". This name is given in honour of Pedro González Telmo, a 13th-century Spanish priest."
TEMAN,TEMAN,['m'],"['Biblical', 'Biblical Hebrew']","Means ""right hand"" or ""south"" in Hebrew. In the Old Testament this is the name of a grandson of Esau for whom the town of Teman in Edom was named."
TEMEL,TEMEL,['m'],['Turkish'],"Means ""fundamental, basic"" in Turkish."
TEMIR,TEMIR,['m'],['Kazakh'],Kazakh form of Temür (see TIMUR).
TEMITOPE,TEMITOPE,"['f', 'm']","['Western African', 'Yoruba']","Means ""enough to give thanks"" in Yoruba."
TEMO,TEMO,['m'],['Georgian'],Short form of TEIMURAZ.
TEMPERANCE,TEMPERANCE,['f'],['English (Archaic)'],"From the English word meaning ""moderation"" or ""restraint"". This was one of the virtue names adopted by the Puritans in the 17th century."
TEMPEST,TEMPEST,['f'],['English (Rare)'],"From the English word meaning ""storm"". It appears in the title of William Shakespeare's play 'The Tempest' (1611)."
