,name,gender,origin,meaning
'AAMIR,'AAMIR,['m'],['Arabic'],"Means ""prosperous, substantial"" in Arabic."
'ABBAS,'ABBAS,['m'],"['Arabic', 'Persian']",Variant transcription of ABBAS.
'ABLA,'ABLA,['f'],['Arabic'],"Means ""full-figured"" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla."
'ACH'AV,'ACH'AV,['m'],['Biblical Hebrew'],Biblical Hebrew form of AHAB.
'ADALYA','ADALYA',['m'],['Biblical Hebrew'],Hebrew form of ADALIA.
'ADINAH,'ADINAH,['m'],['Biblical Hebrew'],Hebrew form of ADINA(1).
'ADONIYAH,'ADONIYAH,['m'],['Biblical Hebrew'],Hebrew form of ADONIJAH.
'AISHA,'AISHA,['f'],['Arabic'],Variant transcription of AISHA.
'ALI,'ALI,['m'],['Arabic'],Variant transcription of ALI(1).
'AMARYAHU,'AMARYAHU,['m'],['Biblical Hebrew'],Original Hebrew form of AMARIAH.
'AMMAR,'AMMAR,['m'],['Arabic'],"Means ""virtuous, pious"" in Arabic."
'ARI'EL,'ARI'EL,['m'],['Biblical Hebrew'],Hebrew form of ARIEL.
'ASENAT,'ASENAT,['f'],['Biblical Hebrew'],Hebrew form of ASENATH.
'ASHTORET,'ASHTORET,['f'],"['Biblical Hebrew', 'Near Eastern Mythology']",Hebrew form of ASHTORETH.
'AVI'EL,'AVI'EL,['m'],['Biblical Hebrew'],Hebrew form of ABIEL.
'AVIGAYIL,'AVIGAYIL,['f'],['Biblical Hebrew'],Original Hebrew form of ABIGAIL.
'AVIMA'EL,'AVIMA'EL,['m'],['Biblical Hebrew'],Hebrew form of ABIMAEL.
'AVIMELEKH,'AVIMELEKH,['m'],['Biblical Hebrew'],Hebrew form of ABIMELECH.
'AVISHAY,'AVISHAY,['m'],['Biblical Hebrew'],Hebrew form of ABISHAI.
'AVIYAH,'AVIYAH,"['m', 'f']",['Biblical Hebrew'],Hebrew form of ABIJAH.
'AVSHALOM,'AVSHALOM,['m'],['Biblical Hebrew'],Hebrew form of ABSALOM.
'AZARYAH,'AZARYAH,['m'],['Biblical Hebrew'],Hebrew form of AZARIAH.
'AZAZYAHU,'AZAZYAHU,['m'],['Biblical Hebrew'],Hebrew form of AZAZIAH.
'AZIZ,'AZIZ,['m'],['Arabic'],Variant transcription of AZIZ.
'AZRI'EL,'AZRI'EL,['m'],['Biblical Hebrew'],Hebrew form of AZRIEL.
'EDNAH,'EDNAH,['f'],['Biblical Hebrew'],Hebrew form of EDNA(2).
'EFRAYIM,'EFRAYIM,['m'],['Biblical Hebrew'],Hebrew form of EPHRAIM.
'EL'AZAR,'EL'AZAR,['m'],['Biblical Hebrew'],Hebrew form of ELEAZAR.
'ELI'EZER,'ELI'EZER,['m'],['Biblical Hebrew'],Hebrew form of ELIEZER.
'ELIFALET,'ELIFALET,['m'],['Biblical Hebrew'],Hebrew form of ELIPHALET.
'ELIFELET,'ELIFELET,['m'],['Biblical Hebrew'],Hebrew form of ELIPHELET.
'ELNATAN,'ELNATAN,['m'],['Biblical Hebrew'],Hebrew form of ELNATHAN.
'ESAW,'ESAW,['m'],['Biblical Hebrew'],Hebrew form of ESAU.
'ESTER,'ESTER,['f'],['Biblical Hebrew'],Hebrew form of ESTHER.
'EZRA','EZRA',['m'],['Biblical Hebrew'],Ancient Hebrew form of EZRA.
'IRA','IRA',['m'],['Biblical Hebrew'],Hebrew form of IRA(1).
'ISAM,'ISAM,['m'],['Arabic'],"Means ""security, pledge"" in Arabic."
'ISMAT,'ISMAT,"['m', 'f']",['Arabic'],"Derived from Arabic عصم('Isma) meaning ""safeguarding""."
'ITTAY,'ITTAY,['m'],['Biblical Hebrew'],Biblical Hebrew form of ITHAI.
'IYYOV,'IYYOV,['m'],['Biblical Hebrew'],Biblical Hebrew form of JOB.
'IZEVEL,'IZEVEL,['f'],['Biblical Hebrew'],Hebrew form of JEZEBEL.
'OFRAH,'OFRAH,['m'],['Biblical Hebrew'],Hebrew form of OPHRAH.
'ORPAH,'ORPAH,['f'],['Biblical Hebrew'],Hebrew form of ORPAH.
'OVADYAH,'OVADYAH,['m'],['Biblical Hebrew'],Hebrew form of OBADIAH.
'URI,'URI,['m'],['Biblical Hebrew'],Biblical Hebrew form of URI.
'URIY'EL,'URIY'EL,['m'],['Biblical Hebrew'],Biblical Hebrew form of URIEL.
'URIYAH,'URIYAH,['m'],['Biblical Hebrew'],Hebrew form of URIAH.
'UZZIYYAH,'UZZIYYAH,['m'],['Biblical Hebrew'],Hebrew form of UZZIAH.
A'ISHA,A'ISHA,['f'],['Arabic'],Variant transcription of AISHA.
AABRAHAM,AABRAHAM,['m'],['Finnish (Rare)'],Finnish form of ABRAHAM.
AADA,AADA,['f'],['Finnish'],Finnish short form of ADELE and other names beginning with the same sound.
AADOLF,AADOLF,['m'],['Finnish'],Finnish form of ADOLF.
AAFJE,AAFJE,['f'],['Dutch'],"Short form of names beginning with the Germanic element alf ""elf""."
AAGE,AAGE,['m'],"['Danish', 'Norwegian']",Danish and Norwegian form of ÁKI.
AALI,AALI,['m'],['Arabic'],"Means ""high, lofty, sublime"" in Arabic."
AALIS,AALIS,['f'],['Medieval French'],Old French form of ALICE.
AALIYAH,AALIYAH,['f'],"['Arabic', 'English (Modern)']","Feminine form of AALI. It was popularized in the English-speaking world by the singer Aaliyah Haughton (1979-2001), who was known simply as Aaliyah."
AAMINA,AAMINA,['f'],['Arabic'],Variant transcription of AMINAH(1).
AAMINAH,AAMINAH,['f'],['Arabic'],Variant transcription of AMINAH(1).
AAMIR  (1),AAMIR  (1),['m'],"['Arabic', 'Urdu']","Variant transcription of 'AAMIR, as well as the usual Urdu transcription."
AAMIR  (2),AAMIR  (2),['m'],['Arabic'],Variant of AMIR(1).
AAMU,AAMU,['f'],['Finnish'],"Means ""morning"" in Finnish."
AAPELI,AAPELI,['m'],['Finnish'],Finnish form of ABEL.
AAPO,AAPO,['m'],['Finnish'],Finnish form of ABRAHAM.
AAREN,AAREN,"['m', 'f']",['English (Rare)'],Variant or feminine form of AARON.
AARNE,AARNE,['m'],['Finnish'],Finnish form of ARNE(1).
AARON,AARON,['m'],"['English', 'Jewish', 'Biblical', 'Biblical Latin', 'Biblical Greek']","From the Hebrew name אַהֲרֹן('Aharon) which is most likely of unknown Egyptian origin. Other theories claim a Hebrew derivation, and suggest meanings such as ""high mountain"" or ""exalted"". In the Old Testament this name is borne by the older brother of Moses. He acted as a spokesman for his brother when they appealed to the pharaoh to release the Israelites from slavery. Aaron's rod produced miracles and plagues to intimidate the pharaoh. After the departure from Egypt and arrival at Mount Sinai, God installed Aaron as the first high priest of the Israelites and promised that his descendants would form the priesthood....[more]"
AART,AART,['m'],['Dutch'],Dutch short form of ARNOLD.
AARTHI,AARTHI,['f'],['Tamil'],Tamil form of AARTI.
AARTI,AARTI,['f'],"['Indian', 'Hindi', 'Marathi']","From the name of a Hindu ritual in which offerings of lamps or candles are made to various gods, derived from Sanskrit आरात्रिक(aratrika)."
AARÓN,AARÓN,['m'],"['Spanish', 'Biblical Spanish']",Spanish form of AARON.
AATAMI,AATAMI,['m'],['Finnish'],Finnish form of ADAM.
AATOS,AATOS,['m'],['Finnish'],"Means ""thought"" in Finnish."
AATTO,AATTO,['m'],['Finnish'],"Finnish form of ADOLF. It also means ""eve, evening before"" in Finnish, as the day before an important holiday."
AATU,AATU,['m'],['Finnish'],Finnish form of ADOLF.
AAVA,AAVA,['f'],['Finnish'],"Means ""wide, open"" in Finnish."
ABACUC,ABACUC,['m'],['Biblical Latin'],Biblical Latin form of HABAKKUK.
ABADDON,ABADDON,['m'],['Biblical'],"Means ""ruin, destruction"" in Hebrew. In Revelation in the New Testament this is another name of the angel of the abyss."
ABBAS,ABBAS,['m'],"['Arabic', 'Persian', 'Urdu']","Means ""austere"" in Arabic. This was the name of the Prophet Muhammad's uncle. It was also borne by a son of Ali, the fourth caliph."
ABBE,ABBE,['m'],['Frisian'],"Originally a short form of Germanic names beginning with the element adal meaning ""noble""."
ABBEY,ABBEY,['f'],['English'],Diminutive of ABIGAIL.
ABBI,ABBI,['f'],['English'],Diminutive of ABIGAIL.
ABBIE,ABBIE,['f'],['English'],Diminutive of ABIGAIL.
ABBY,ABBY,['f'],['English'],Diminutive of ABIGAIL.
ABBÁN,ABBÁN,['m'],['Irish'],"Means ""little abbot"", derived from Irish abb ""abbot"" combined with a diminutive suffix. This was the name of a 6th-century Irish saint, the son of King Cormac of Leinster."
ABD AL-AZIZ,ABD AL-AZIZ,['m'],['Arabic'],"Means ""servant of the powerful"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with عزيز('aziz) meaning ""powerful"". This was the name of the first king of modern Saudi Arabia."
ABD AL-HAMID,ABD AL-HAMID,['m'],['Arabic'],"Means ""servant of the praiseworthy"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with حميد(hamid) meaning ""praiseworthy"". This was the name of two sultans of the Ottoman Empire."
ABD AL-KADER,ABD AL-KADER,['m'],['Arabic'],Variant transcription of ABD AL-QADIR.
ABD AL-KARIM,ABD AL-KARIM,['m'],['Arabic'],"Means ""servant of the generous"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with كريم(karim) meaning ""generous""."
ABD AL-LATIF,ABD AL-LATIF,['m'],['Arabic'],"Means ""servant of the gentle"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with لطيف(latif) meaning ""gentle""."
ABD AL-MALIK,ABD AL-MALIK,['m'],['Arabic'],"Means ""servant of the king"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with ملك(malik) meaning ""king"". This was the name of the fifth Umayyad caliph, who made Arabic the official language of the empire."
ABD AL-QADIR,ABD AL-QADIR,['m'],['Arabic'],"Means ""servant of the capable, powerful"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with قادر(qadir) meaning ""capable, powerful"". This was the name of a 19th-century Algerian resistance leader."
ABD AL-RAHMAN,ABD AL-RAHMAN,['m'],['Arabic'],"Means ""servant of the merciful"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with رحمن(rahman) meaning ""merciful"". This was the name of two early caliphs of the Umayyad dynasty in Spain."
ABD AL-RASHID,ABD AL-RASHID,['m'],['Arabic'],"Means ""servant of the rightly guided"" from Arabic عبد ال('abd al) meaning ""servant of the"" combined with رشد(rashid) meaning ""rightly guided""."
ABD AL-WALI,ABD AL-WALI,['m'],['Arabic'],"Means ""servant of the guardian"" from Arabic عبد ال('abd al) meaning  ""servant of the"" combined with ولِي(wali) meaning ""guardian, friend""."
ABD ALLAH,ABD ALLAH,['m'],['Arabic'],"Means ""servant of ALLAH"" from Arabic عبد('abd) meaning ""servant of"" combined with الله(Allah). This was the name of the Prophet Muhammad's father. He died before his son's birth."
ABDIAS,ABDIAS,['m'],['Biblical Latin'],Form of OBADIAH used in the Latin Old Testament.
ABDIOU,ABDIOU,['m'],['Biblical Greek'],Form of OBADIAH used in the Greek Old Testament.
ABDOLLAH,ABDOLLAH,['m'],['Persian'],Persian form of ABD ALLAH.
ABDUL,ABDUL,['m'],"['Arabic', 'Urdu', 'Punjabi', 'Pashto', 'Bengali', 'Indonesian', 'Malay']","First part of compound Arabic names beginning with عبد ال('Abd al) meaning ""servant of the"" (such as عبد العزيز('Abd al-'Aziz) ""servant of the powerful"")."
ABDUL-AZIZ,ABDUL-AZIZ,['m'],['Arabic'],Variant transcription of ABD AL-AZIZ.
ABDUL-HAMID,ABDUL-HAMID,['m'],['Arabic'],Variant transcription of ABD AL-HAMID.
ABDUL-RAHMAN,ABDUL-RAHMAN,['m'],['Arabic'],Variant transcription of ABD AL-RAHMAN.
ABDULAH,ABDULAH,['m'],['Bosnian'],Bosnian form of ABD ALLAH.
ABDULLAH,ABDULLAH,['m'],"['Arabic', 'Turkish', 'Malay', 'Indonesian']","Variant transcription of ABD ALLAH, as well as the regular Turkish, Malay and Indonesian form."
ABDULLO,ABDULLO,['m'],['Tajik'],Tajik form of ABD ALLAH.
ABDULLOHI,ABDULLOHI,['m'],['Tajik'],Tajik variant form of ABD ALLAH.
ABDUR-RAHMAN,ABDUR-RAHMAN,['m'],['Arabic'],Variant transcription of ABD AL-RAHMAN.
ABDUR-RASHID,ABDUR-RASHID,['m'],['Arabic'],Variant transcription of ABD AL-RASHID.
ABDURAKHMAN,ABDURAKHMAN,['m'],['Chechen'],Chechen form of ABD AL-RAHMAN.
ABDUWELI,ABDUWELI,['m'],['Uyghur'],Uyghur form of ABD AL-WALI.
ABDÜLHAMİT,ABDÜLHAMİT,['m'],['Turkish'],Turkish form of ABD AL-HAMID.
ABDÜLKADİR,ABDÜLKADİR,['m'],['Turkish'],Turkish form of ABD AL-QADIR.
ABDÜLKERİM,ABDÜLKERİM,['m'],['Turkish'],Turkish form of ABD AL-KARIM.
ABDÜLLATİF,ABDÜLLATİF,['m'],['Turkish'],Turkish form of ABD AL-LATIF.
ABE  (1),ABE  (1),['m'],['English'],Short form of ABRAHAM.
ABE  (2),ABE  (2),['m'],"['Frisian', 'Dutch']",Variant of ABBE.
ABEBA,ABEBA,['f'],"['Eastern African', 'Amharic']","Means ""flower"" in Amharic."
ABEDNEGO,ABEDNEGO,['m'],['Biblical'],"Means ""servant of Nebo"" in Akkadian, Nebo being the Babylonian god of wisdom. In the Old Testament Abednego is the Babylonian name given to Azariah, one of the three men cast into a blazing furnace but saved from harm by God, as told in the Book of Daniel."
ABEGAIL,ABEGAIL,['f'],['English (Rare)'],Variant of ABIGAIL.
ABEL,ABEL,['m'],"['English', 'French', 'Spanish', 'Portuguese', 'Georgian', 'Biblical', 'Biblical Latin', 'Biblical Greek']","From the Hebrew name הֶבֶל(Hevel) meaning ""breath"". In the Old Testament he is the second son of Adam and Eve, murdered out of envy by his brother Cain. In England, this name came into use during the Middle Ages, and it was common during the Puritan era."
ABELE,ABELE,['m'],['Italian'],Italian form of ABEL.
ABELONE,ABELONE,['f'],['Danish'],Danish form of APOLLONIA.
ABENA,ABENA,['f'],"['Western African', 'Akan']","Means ""born on Tuesday"" in Akan."
ABENE,ABENE,['f'],['Basque'],"Derived from Basque abe meaning ""pillar"". It is a Basque equivalent of Pilar."
ABENI,ABENI,['f'],"['Western African', 'Yoruba']","Means ""we asked for her, and behold, we got her"" in Yoruba."
ABENNER,ABENNER,['m'],['Biblical Greek'],Biblical Greek form of ABNER.
ABERASH,ABERASH,['f'],"['Eastern African', 'Amharic']","Possibly means ""giving off light, shining"" in Amharic."
ABESSA,ABESSA,['m'],['Biblical Greek'],Biblical Greek form of ABISHAI.
ABESSALOM,ABESSALOM,['m'],['Biblical Greek'],Biblical Greek form of ABSALOM.
ABHA,ABHA,['f'],"['Indian', 'Hindi']","Means ""splendour, light"" in Sanskrit."
ABHAY,ABHAY,['m'],"['Indian', 'Hindi', 'Marathi']","Means ""fearless"" in Sanskrit."
ABHIJEET,ABHIJEET,['m'],"['Indian', 'Hindi', 'Marathi', 'Bengali']",Variant transcription of ABHIJIT.
ABHIJIT,ABHIJIT,['m'],"['Indian', 'Hindi', 'Marathi', 'Bengali']","From Sanskrit अभिजित(abhijita) meaning ""victorious"". This is the Sanskrit name for the star Vega."
ABHILASH,ABHILASH,['m'],"['Indian', 'Malayalam', 'Hindi']","Means ""desire, wish"" in Sanskrit."
ABHILASHA,ABHILASHA,['f'],"['Indian', 'Hindi']",Feminine form of ABHILASH.
ABHINAV,ABHINAV,['m'],"['Indian', 'Hindi', 'Marathi', 'Kannada', 'Telugu']","Means ""young, fresh"" in Sanskrit."
ABHISHEK,ABHISHEK,['m'],"['Indian', 'Hindi', 'Marathi', 'Gujarati', 'Punjabi', 'Bengali', 'Kannada', 'Telugu', 'Malayalam', 'Tamil']","Means ""anointing"" in Sanskrit."
ABI,ABI,['f'],['Scottish'],Short form of ABIGAIL.
ABIA,ABIA,"['m', 'f']","['Biblical Latin', 'Biblical Greek']",Biblical Greek and Latin form of 'AVIYAH.
ABIAH,ABIAH,"['m', 'f']",['Biblical'],Variant of ABIJAH which also appears in the English Bible.
ABIDAN,ABIDAN,['m'],"['Biblical', 'Biblical Latin', 'Biblical Greek']","Means ""my father is judge"" in Hebrew. In the Old Testament he is a Benjamite prince."
ABIDEMI,ABIDEMI,['m'],"['Western African', 'Yoruba']","Means ""born during father's absence"" in Yoruba."
ABIEL,ABIEL,['m'],['Biblical'],"Means ""God is my father"" in Hebrew. This was the name of the grandfather of Saul in the Old Testament."
ABIGAIA,ABIGAIA,['f'],['Biblical Greek'],Greek form of ABIGAIL.
ABIGAIL,ABIGAIL,['f'],"['English', 'German', 'Biblical', 'Biblical Latin']","From the Hebrew name אֲבִיגָיִל('Avigayil) meaning ""my father is joy"", derived from the roots אָב('av) meaning ""father"" and גִּיל(gil) meaning ""joy"". In the Old Testament this is the name of Nabal's wife. After Nabal's death she became the third wife of King David....[more]"
ABIGAYLE,ABIGAYLE,['f'],['English (Modern)'],Variant of ABIGAIL.
ABIGAÍL,ABIGAÍL,['f'],['Spanish'],Spanish form of ABIGAIL.
ABIGÉL,ABIGÉL,['f'],['Hungarian'],Hungarian form of ABIGAIL.
ABIHU,ABIHU,['m'],['Biblical'],"Means ""he is my father"" in Hebrew. This is the name of a son of Aaron in the Old Testament. He and his brother Nadab were killed by God because they presented him with unauthorized fire."
ABIJAH,ABIJAH,"['m', 'f']",['Biblical'],"Means ""my father is YAHWEH"" in Hebrew. In the Old Testament this is the name of several characters, both male and female, including the second king of Judah."
ABILENE,ABILENE,['f'],['English'],"From a place name mentioned briefly in the New Testament. It is probably from Hebrew אָבֵל('avel) meaning ""meadow, grassy area"". It has occasionally been used as a given name in modern times."
ABILIO,ABILIO,['m'],['Spanish'],Spanish form of AVILIUS.
ABIMAEL,ABIMAEL,['m'],['Biblical'],"Meaning uncertain, though the first element is likely Hebrew אָב('av) meaning ""father"". In the Old Testament he is listed as a descendant of Shem."
ABIMBOLA,ABIMBOLA,"['m', 'f']","['Western African', 'Yoruba']","Means ""born wealthy"" in Yoruba."
ABIMELECH,ABIMELECH,['m'],['Biblical'],"Means ""my father is king"" in Hebrew. This is the name of several characters in the Old Testament including a king of Gerar who takes Abraham's wife Sarah, but is forced by God to give her back."
ABIODUN,ABIODUN,"['m', 'f']","['Western African', 'Yoruba']","Means ""born on a festival"" in Yoruba."
ABIOYE,ABIOYE,['m'],"['Western African', 'Yoruba']","Means ""born into royalty"" in Yoruba."
ABIRAM,ABIRAM,['m'],['Biblical'],"Means ""my father is exalted"" in Hebrew. In the Old Testament, Abiram is swallowed by an earthquake after rebelling against the leadership of Moses."
ABISAI,ABISAI,['m'],['Biblical Latin'],Biblical Latin form of ABISHAI.
ABISHAG,ABISHAG,['f'],['Biblical'],"Means ""my father strays"" in Hebrew. In the Old Testament Abishag is a young woman who tends King David in his old age."
ABISHAI,ABISHAI,['m'],['Biblical'],"Means ""my father is a gift"" in Hebrew. In the Old Testament he is one of King David's heroes."
ABITAL,ABITAL,['f'],['Biblical'],"Means ""my father is the night dew"" in Hebrew. She is the fifth wife of David in the Old Testament."
ABNER,ABNER,['m'],"['English', 'Biblical', 'Biblical Latin']","Means ""my father is a light"" in Hebrew, from אָב('av) meaning ""father"" and נִיר(nir) meaning ""lamp, light"". In the Old Testament, Abner was a cousin of Saul and the commander of his army. After he killed Asahel he was himself slain by Asahel's brother Joab. It has been used as an English Christian given name since the Protestant Reformation. It was popular with the Puritans, who brought it to America in the 17th century."
ABOLFAZL,ABOLFAZL,['m'],['Persian'],Persian form of ABU AL-FADL.
ABOUBACAR,ABOUBACAR,['m'],"['Western African', 'Wolof', 'Serer', 'Fula']",Form of ABU BAKR used in western Africa.
ABRAAM,ABRAAM,['m'],"['Biblical Greek', 'Georgian']","Biblical Greek form of ABRAHAM, as well as a Georgian form."
ABRAHAM,ABRAHAM,['m'],"['English', 'Hebrew', 'Spanish', 'French', 'Dutch', 'German', 'Swedish', 'Norwegian', 'Danish', 'Biblical', 'Biblical Latin']","This name may be viewed either as meaning ""father of many"" in Hebrew or else as a contraction of ABRAM(1) and הָמוֹן(hamon) meaning ""many, multitude"". The biblical patriarch Abraham was originally named Abram but God changed his name (see Genesis 17:5). With his father Terah, he led his wife Sarah, his nephew Lot and their other followers from Ur into Canaan. He is regarded by Jews as being the founder of the Hebrews through his son Isaac and by Muslims as being the founder of the Arabs through his son Ishmael....[more]"
ABRAM  (1),ABRAM  (1),['m'],"['English', 'Biblical']","Means ""high father"" in Hebrew. In the Old Testament God changed Abram's name to Abraham (see Genesis 17:5)."
ABRAM  (2),ABRAM  (2),['m'],"['Russian', 'Georgian']",Russian and Georgian form of ABRAHAM.
ABRAMO,ABRAMO,['m'],['Italian'],Italian form of ABRAHAM.
ABRAÃO,ABRAÃO,['m'],['Portuguese'],Portuguese form of ABRAHAM.
ABSALOM,ABSALOM,['m'],"['Biblical', 'Biblical Latin']","From the Hebrew name אַבְשָׁלוֹם('Avshalom) meaning ""my father is peace"", derived from אָב('av) meaning ""father"" and שָׁלוֹם(shalom) meaning ""peace"". In the Old Testament he is a son of King David. He avenged his sister Tamar by arranging the murder of her rapist, their half-brother Amnon. He later led a revolt against his father. While fleeing on the back of a mule he got his head caught in a tree and was killed by Joab."
ABU,ABU,['m'],['Arabic'],"Means ""father of"" in Arabic. This is commonly used as an element in a kunya, which is a type of Arabic nickname. The element is combined with the name of one of the bearer's children (usually the eldest son). In some cases the kunya is figurative, not referring to an actual child, as in the case of the Muslim caliph Abu Bakr."
ABU AL-FADL,ABU AL-FADL,['m'],['Arabic'],"Combination of ABU and FADL. This was another name for Abbas, the son of the fourth caliph Ali."
ABU BAKR,ABU BAKR,['m'],['Arabic'],"Combination of ABU and BAKR. Abu Bakr was a companion and father-in-law of the Prophet Muhammad and the first caliph of the Muslim world. His name was in fact a kunya (a nickname) formed using Abu; his real name was Abd Allah. Shia Muslims hold a more negative view of Abu Bakr, hence this name is more widely used among Sunnis."
ABUBAKAR,ABUBAKAR,['m'],"['Western African', 'Hausa', 'Fula']",Form of ABU BAKR used in Nigeria.
ABUL-FAZL,ABUL-FAZL,['m'],['Arabic'],Variant transcription of ABU AL-FADL.
ABÍLIO,ABÍLIO,['m'],['Portuguese'],Portuguese form of AVILIUS.
ACA,ACA,['m'],"['Serbian', 'Macedonian']",Serbian and Macedonian diminutive of ALEKSANDAR.
ACACIA,ACACIA,['f'],['English (Rare)'],"From the name of a type of tree, ultimately deriving from Greek ακη(ake) ""thorn, point""."
ACACIUS,ACACIUS,['m'],['Ancient Greek (Latinized)'],Latinized form of AKAKIOS.
ACANTHA,ACANTHA,['f'],['Greek Mythology (Latinized)'],"Latinized form of Greek Ακανθα(Akantha), which meant ""thorn, prickle"". In Greek legend she was a nymph loved by Apollo."
ACE  (1),ACE  (1),['m'],['English'],"From the English word meaning ""highest rank"". More commonly a nickname, it is occasionally used as a given name."
ACE  (2),ACE  (2),['m'],['Macedonian'],Macedonian diminutive of ALEXANDER.
ACHAAB,ACHAAB,['m'],['Biblical Greek'],Biblical Greek form of AHAB.
ACHAB,ACHAB,['m'],['Biblical Latin'],Latin form of AHAB used in some versions of the Vulgate.
ACHAICUS,ACHAICUS,['m'],"['Biblical', 'Biblical Latin']","Latinized form of the Greek name Αχαικος(Achaikos), which referred to the region in Greece called Αχαια(Achaia), situated on the northern coast of the Peloponnese. In the New Testament this is the name of a Corinthian Christian who aids Saint Paul."
ACHAIKOS,ACHAIKOS,['m'],"['Biblical Greek', 'Ancient Greek']",Greek form of ACHAICUS.
ACHAN,ACHAN,['m'],['Biblical'],"Possibly a variation of the Hebrew word עֲכָר('akhar) meaning ""trouble"". In the Old Testament, Achan is stoned to death because he steals forbidden items during the assault on Jericho."
ACHARD,ACHARD,['m'],['Old Norman'],Medieval Norman form of EKKEHARD.
ACHIENG,ACHIENG,['f'],"['Eastern African', 'Luo']",Feminine form of OCHIENG.
ACHILLE,ACHILLE,['m'],"['French', 'Italian']",French and Italian form of ACHILLES.
ACHILLEAS,ACHILLEAS,['m'],['Greek'],Modern Greek form of ACHILLES.
ACHILLES,ACHILLES,['m'],"['Greek Mythology (Latinized)', 'Ancient Greek (Latinized)']","From the Greek Αχιλλευς(Achilleus) which is of unknown meaning, perhaps derived from Greek αχος(achos) ""pain"" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's 'Iliad'. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body....[more]"
ACHILLEUS,ACHILLEUS,['m'],"['Greek Mythology', 'Ancient Greek']",Original Greek form of ACHILLES.
ACHIM  (1),ACHIM  (1),['m'],['German'],German short form of JOACHIM.
ACHIM  (2),ACHIM  (2),['m'],['Biblical'],"Possibly means ""he will establish"" in Hebrew. In the New Testament this name is listed as an ancestor of Jesus."
ACHINOAM,ACHINOAM,['f'],"['Biblical Hebrew', 'Hebrew']",Hebrew form of AHINOAM.
ACKE,ACKE,['m'],['Swedish'],Swedish short form of AXEL.
ACO,ACO,['m'],"['Macedonian', 'Serbian']",Macedonian and Serbian diminutive of ALEKSANDAR.
AD,AD,['m'],"['Dutch', 'Limburgish']",Short form of ADRIAAN.
ADA,ADA,['f'],"['English', 'German', 'Polish', 'Hungarian', 'Italian', 'Finnish']","Short form of ADELAIDE and other names beginning with the same sound. This name was borne by Augusta Ada King (1815-1852), the Countess of Lovelace (known as Ada Lovelace), a daughter of Lord Byron. She was an assistant to Charles Babbage, the inventor of an early mechanical computer."
ADAD,ADAD,['m'],['Near Eastern Mythology'],Akkadian cognate of HADAD.
ADAEZE,ADAEZE,['f'],"['Western African', 'Igbo']","Means ""king's daughter"" in Igbo."
ADAH,ADAH,['f'],['Biblical'],"Means ""adornment"" in Hebrew. This was the name of the wives of both Lamech and Esau in the Old Testament."
ADAIR,ADAIR,['m'],['English (Rare)'],From an English surname which was derived from the given name EDGAR.
ADALBERHT,ADALBERHT,['m'],['Ancient Germanic'],Old Germanic form of ALBERT.
ADALBERN,ADALBERN,['m'],['Ancient Germanic'],"Derived from the Germanic elements adal ""noble"" and bern ""bear""."
ADALBERT,ADALBERT,['m'],"['Ancient Germanic', 'German', 'Polish']","Old Germanic form of ALBERT. This is the name of a patron saint of Bohemia, Poland and Prussia."
ADALBERTO,ADALBERTO,['m'],"['Italian', 'Spanish', 'Portuguese']",Variant of ALBERTO.
ADALET,ADALET,['f'],['Turkish'],"Means ""justice"" in Turkish, ultimately from Arabic."
ADALFARUS,ADALFARUS,['m'],['Ancient Germanic (Latinized)'],"Derived from the Germanic elements adal ""noble"" and fara ""journey""."
ADALFUNS,ADALFUNS,['m'],['Ancient Germanic'],Old Germanic form of ALFONSO.
ADALHARD,ADALHARD,['m'],['Ancient Germanic'],"Derived from the Germanic elements adal ""noble"" and hard ""brave, hardy"". Saint Adalhard or Adalard was a cousin of Charlemagne who became a abbot of Corbie."
ADALHEIDIS,ADALHEIDIS,['f'],['Ancient Germanic'],Old Germanic form of ADELAIDE.
ADALIA,ADALIA,['m'],['Biblical'],"Meaning unknown, possibly of Persian origin. In Book of Esther in the Old Testament this is the name of a son of Haman the Agagite."
ADALINE,ADALINE,['f'],['English'],Variant of ADELINA.
ADALLINDIS,ADALLINDIS,['f'],['Ancient Germanic'],"Derived from the Germanic elements adal ""noble"" and lind ""soft, tender, flexible""."
ADALWIN,ADALWIN,['m'],['Ancient Germanic'],"From the Germanic elements adal ""noble"" and win ""friend""."
ADALWOLF,ADALWOLF,['m'],['Ancient Germanic'],Older form of ADOLF.
ADALYN,ADALYN,['f'],['English (Modern)'],Variant of ADELINE using the popular name suffix lyn.
ADALYNN,ADALYNN,['f'],['English (Modern)'],Variant of ADELINE using the popular name suffix lyn.
